Round/Game,Winner,Loser,Crash,Timeout,Map,Duration,W Score,L Score,(W-L)/Max,W 55,W 1000,W 10000,L 55,L 1000,L 10000,Win Addr,Lose Addr,Start,Finish,Round/Game,,Bot,Games,Win,Loss,Win %,AvgTime,Hour,Crash,Timeout
3 / 00664,Aiur,GarmBot,FALSE,FALSE,Aztec,00:15:54,65174,45256,0.30561,0,0,0,0,0,0,/192.168.0.13,/192.168.0.44,20160925_055015,20160925_055433,4 / 00664,,,,,,,,,,
3 / 00665,Aiur,JiaBot,FALSE,FALSE,Aztec,00:10:49,39068,12218,0.68725,0,0,0,0,0,0,/192.168.0.23,/192.168.0.31,20160925_055103,20160925_055250,4 / 00665,,,,,,,,,,
3 / 00666,Aiur,Overkill,FALSE,FALSE,Aztec,00:21:04,91158,66714,0.26815,1,0,0,167,0,0,/192.168.0.11,/192.168.0.32,20160925_055144,20160925_055626,4 / 00666,,,,,,,,,,
4 / 00840,Aiur,UAlbertaBot,FALSE,FALSE,TauCross,00:22:02,62907,31818,0.4942,0,0,0,61,0,0,/192.168.0.43,/192.168.0.31,20160925_082937,20160925_083445,5 / 00840,,,,,,,,,,
4 / 00860,Aiur,CruzBot,FALSE,FALSE,TauCross,00:13:36,17698,3252,0.8162,0,0,0,0,0,0,/192.168.0.44,/192.168.0.23,20160925_084216,20160925_084429,5 / 00860,,,,,,,,,,
4 / 00861,Aiur,MegaBot,MegaBot,FALSE,TauCross,00:13:19,42379,14221,0.66442,0,0,0,2,0,0,/192.168.0.22,/192.168.0.13,20160925_084333,20160925_084716,5 / 00861,,,,,,,,,,
4 / 00863,Aiur,Skynet,FALSE,Skynet,TauCross,00:10:26,26186,20550,0.21522,0,0,0,321,0,0,/192.168.0.44,/192.168.0.42,20160925_084602,20160925_084847,5 / 00863,,,,,,,,,,
4 / 00866,Aiur,IceBot,FALSE,FALSE,TauCross,00:12:57,51372,21564,0.58023,0,0,0,1,0,0,/192.168.0.23,/192.168.0.22,20160925_084807,20160925_085026,5 / 00866,,,,,,,,,,
4 / 00870,Aiur,SRbotOne,FALSE,FALSE,TauCross,00:22:37,105666,109395,-0.03409,0,0,0,147,0,0,/192.168.0.23,/192.168.0.12,20160925_085119,20160925_085556,5 / 00870,,,,,,,,,,
4 / 00871,Aiur,TerranUAB,FALSE,FALSE,TauCross,00:13:59,57742,30282,0.47556,0,0,0,0,0,0,/192.168.0.41,/192.168.0.31,20160925_085201,20160925_085446,5 / 00871,,,,,,,,,,
4 / 00872,Aiur,Tyr,FALSE,FALSE,TauCross,00:09:05,19474,450,0.97684,0,0,0,0,0,0,/192.168.0.13,/192.168.0.43,20160925_085304,20160925_085433,5 / 00872,,,,,,,,,,
4 / 00873,Aiur,Cimex,FALSE,FALSE,TauCross,00:13:06,40951,14448,0.64717,0,0,0,0,0,0,/192.168.0.33,/192.168.0.44,20160925_085346,20160925_085611,5 / 00873,,,,,,,,,,
5 / 01050,Aiur,UAlbertaBot,FALSE,FALSE,Andromeda,00:14:02,29810,17642,0.40817,0,0,0,0,0,0,/192.168.0.44,/192.168.0.31,20160925_112955,20160925_113207,6 / 01050,,,,,,,,,,
